t,phi,z,omega,vz,E,E_anal
0.000000,3.173326,10.000000,0.000000,0.000000,94.039612,94.039612
0.010000,3.173328,9.999638,0.000500,-0.072425,94.039612,94.039612
0.020000,3.173336,9.998552,0.001000,-0.144849,94.039612,94.039612
0.030000,3.173348,9.996741,0.001501,-0.217274,94.039612,94.039612
0.040000,3.173366,9.994206,0.002003,-0.289699,94.039612,94.039612
0.050000,3.173388,9.990947,0.002505,-0.362123,94.039612,94.039612
0.060000,3.173416,9.986964,0.003009,-0.434548,94.039612,94.039612
0.070000,3.173449,9.982256,0.003515,-0.506972,94.039612,94.039612
0.080000,3.173486,9.976824,0.004022,-0.579396,94.039612,94.039612
0.090000,3.173529,9.970668,0.004532,-0.651820,94.039612,94.039612
0.100000,3.173577,9.963788,0.005044,-0.724244,94.039612,94.039612
0.110000,3.173630,9.956183,0.005558,-0.796668,94.039612,94.039612
0.120000,3.173688,9.947854,0.006075,-0.869092,94.039612,94.039612
0.130000,3.173752,9.938801,0.006596,-0.941515,94.039612,94.039612
0.140000,3.173820,9.929024,0.007120,-1.013938,94.039612,94.039612
0.150000,3.173894,9.918523,0.007648,-1.086361,94.039612,94.039612
0.160000,3.173973,9.907297,0.008180,-1.158783,94.039612,94.039612
0.170000,3.174058,9.895347,0.008716,-1.231206,94.039612,94.039612
0.180000,3.174147,9.882673,0.009257,-1.303628,94.039612,94.039612
0.190000,3.174243,9.869274,0.009803,-1.376049,94.039612,94.039612
0.200000,3.174343,9.855152,0.010355,-1.448471,94.039612,94.039612
0.210000,3.174450,9.840305,0.010912,-1.520892,94.039612,94.039612
0.220000,3.174562,9.824734,0.011474,-1.593312,94.039612,94.039612
0.230000,3.174679,9.808439,0.012044,-1.665732,94.039612,94.039612
0.240000,3.174803,9.791419,0.012619,-1.738152,94.039612,94.039612
0.250000,3.174932,9.773676,0.013202,-1.810571,94.039612,94.039612
0.260000,3.175067,9.755208,0.013792,-1.882990,94.039612,94.039612
0.270000,3.175208,9.736016,0.014390,-1.955408,94.039612,94.039612
0.280000,3.175355,9.716100,0.014996,-2.027825,94.039612,94.039612
0.290000,3.175508,9.695459,0.015610,-2.100242,94.039612,94.039612
0.300000,3.175667,9.674095,0.016234,-2.172659,94.039612,94.039612
0.310000,3.175832,9.652006,0.016866,-2.245074,94.039612,94.039612
0.320000,3.176004,9.629193,0.017508,-2.317489,94.039612,94.039612
0.330000,3.176182,9.605656,0.018161,-2.389904,94.039612,94.039612
0.340000,3.176367,9.581395,0.018824,-2.462317,94.039612,94.039612
0.350000,3.176559,9.556410,0.019498,-2.534730,94.039612,94.039612
0.360000,3.176757,9.530701,0.020184,-2.607142,94.039612,94.039612
0.370000,3.176963,9.504267,0.020882,-2.679554,94.039612,94.039612
0.380000,3.177175,9.477110,0.021592,-2.751964,94.039612,94.039612
0.390000,3.177395,9.449228,0.022316,-2.824373,94.039612,94.039612
0.400000,3.177621,9.420622,0.023053,-2.896782,94.039612,94.039612
0.410000,3.177856,9.391292,0.023805,-2.969189,94.039612,94.039612
0.420000,3.178098,9.361238,0.024571,-3.041596,94.039612,94.039612
0.430000,3.178347,9.330460,0.025353,-3.114001,94.039612,94.039612
0.440000,3.178605,9.298958,0.026151,-3.186405,94.039612,94.039612
0.450000,3.178870,9.266732,0.026966,-3.258808,94.039612,94.039612
0.460000,3.179144,9.233782,0.027798,-3.331210,94.039612,94.039612
0.470000,3.179426,9.200108,0.028649,-3.403610,94.039612,94.039612
0.480000,3.179717,9.165710,0.029518,-3.476009,94.039612,94.039612
0.490000,3.180017,9.130588,0.030408,-3.548406,94.039612,94.039612
0.500000,3.180325,9.094742,0.031317,-3.620802,94.039612,94.039612
0.510000,3.180643,9.058172,0.032249,-3.693197,94.039612,94.039612
0.520000,3.180970,9.020878,0.033202,-3.765590,94.039612,94.039612
0.530000,3.181307,8.982860,0.034179,-3.837981,94.039612,94.039612
0.540000,3.181654,8.944118,0.035180,-3.910370,94.039612,94.039612
